SHOP_MONTH,NEW_STATUS,REPEAT_STATUS,REACTIVE_STATUS,PREVIOUS_TOTAL,NUMBER_CHURN,CHURN_COUNT,TOTAL
2006-04-01,1003,0,0,,,,1003
2006-05-01,544,675,0,1003,328,-328,1219
2006-06-01,382,787,82,1219,432,-432,1251
2006-07-01,385,843,181,1251,408,-408,1409
2006-08-01,366,887,197,1409,522,-522,1450
2006-09-01,328,931,238,1450,519,-519,1497
2006-10-01,255,940,254,1497,557,-557,1449
2006-11-01,239,927,277,1449,522,-522,1443
2006-12-01,226,940,319,1443,503,-503,1485
2007-01-01,175,924,306,1485,561,-561,1405
2007-02-01,151,897,280,1405,508,-508,1328
2007-03-01,169,898,350,1328,430,-430,1417
2007-04-01,176,891,305,1417,526,-526,1372
2007-05-01,149,885,357,1372,487,-487,1391
2007-06-01,163,901,376,1391,490,-490,1440
2007-07-01,190,911,357,1440,529,-529,1458
2007-08-01,189,900,359,1458,558,-558,1448
2007-09-01,173,889,375,1448,559,-559,1437
2007-10-01,170,889,355,1437,548,-548,1414
2007-11-01,147,910,401,1414,504,-504,1458
2007-12-01,134,929,345,1458,529,-529,1408
2008-01-01,105,861,348,1408,547,-547,1314
2008-02-01,126,860,359,1314,454,-454,1345
2008-03-01,133,870,375,1345,475,-475,1378
2008-04-01,22,855,663,1378,523,-523,1540
2008-05-01,0,966,625,1540,574,-574,1591
2008-06-01,0,997,602,1591,594,-594,1599
2008-07-01,0,465,130,1599,1134,-1134,595